val_year,val_mth,pol_id,prod_code,red,group,elap_mth,elap_mth_pol,age_1,term,sex_1,frac_pol,pr_curr,pr_init,pr_acc,pr_freq,pr_inc_pct,pr_inc_ind,pr_term,pct_sa_acc,basis_ps,bon_curr,bon_pct,lin_sa_dth,lin_sa_dth_ind,lin_sa_mat,lin_sa_mat_ind,lin_pr,lex_pr,com1,com2,com3,com4,com5,com6,com7,com8,com9,com10,res_db,res_nt_db,sa_dth,sa_mat,sa_mat_riders,table_res,pct_res,table_res_nt,pct_res_nt,ind_table,ind_table_nt,sa_inc_ind,sa_inc_pct,surr_type,surr_penalty,it,it_nt,it_rop,db_type_t,sa_dth_inc_ind,sa_dth_inc_pct,age_shift_res,inc_term_yr,val_int_loan,pr_init_original,rop_type_t,modal_load,inc_at_mat,ind_matching,it_matching,fund_name,portfolio,prod_code_scr,sa_dth_original,flag_wl_int2,int2,term_int2,bonus_type,year_birth1,table_tariff,edad_derechos,cohort_base,policies_curr
2019,12,BGVP000120_190000031,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-4,0,630,144,M,1,85.73923492,85.73923492,0,0,0,C,144,0,2,1.225700021,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,83.99688721,83.99688721,0,83.48999786,0,GRM95,1,GRM95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,12,0,85.73923492,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1967,NA,0,317-2020,1
2019,12,BGVH001255_150000068,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-5,0,466,312,F,1,103.1277618,103.1277618,0,0,0,C,312,0,2,1.238199949,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,101.088768,101.088768,0,102.0199966,0,GRF95,1,GRF95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,26,0,103.1277618,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1981,NA,0,317-2020,1
2019,12,BGVH001255_150000069,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-5,0,422,360,F,1,156.2319946,156.2319946,0,0,0,C,360,0,2,1.876099944,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,153.1511688,153.1511688,0,155.1900024,0,GRF95,1,GRF95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,30,0,156.2319946,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1985,NA,0,317-2020,1
2019,12,BGVH001255_150000070,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-5,0,492,288,F,1,91.22342682,91.22342682,0,0,0,C,288,0,2,1.095299959,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,89.41686249,89.41686249,0,90.05999756,0,GRF95,1,GRF95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,24,0,91.22342682,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1979,NA,0,317-2020,1
2019,12,BGVH001255_150000071,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-5,0,445,336,M,1,97.24905396,97.24905396,0,0,0,C,336,0,2,1.167700052,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,95.3273468,95.3273468,0,96.23999786,0,GRM95,1,GRM95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,28,0,97.24905396,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1983,NA,0,317-2020,1
2019,12,BGVH001255_150000072,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-5,0,534,252,M,1,376.1515198,376.1515198,0,0,0,C,252,0,2,4.515999794,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,368.6695251,368.6695251,0,369.4500122,0,GRM95,1,GRM95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,21,0,376.1515198,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1975,NA,0,317-2020,1
2019,12,BGVH001255_150000073,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-5,0,498,276,F,1,167.5544128,167.5544128,0,0,0,C,276,0,2,2.011800051,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,164.2332001,164.2332001,0,165.25,0,GRF95,1,GRF95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,23,0,167.5544128,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1978,NA,0,317-2020,1
2019,12,BGVH001255_150000074,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-5,0,473,312,M,1,120.5720139,120.5720139,0,0,0,C,312,0,2,1.447700024,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,118.1858521,118.1858521,0,119.0599976,0,GRM95,1,GRM95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,26,0,120.5720139,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1980,NA,0,317-2020,1
2019,12,BGVH001255_150000075,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-5,0,494,288,F,1,167.8608246,167.8608246,0,0,0,C,288,0,2,2.015500069,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,164.5365601,164.5365601,0,165.7200012,0,GRF95,1,GRF95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,24,0,167.8608246,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1979,NA,0,317-2020,1
2019,12,BGVH001255_150000076,Ahorro_Colectivo,V,|NP|Trad|Ahorro_Colectivo|Ahorro_Colectivo|1210|VI_200|GH12|Ahorro_Con_PB|With_Profit|C-ART_33_1a|Garantizado_Fijo|Inferior_al_1%|Garantizado_Fijo|,-5,0,426,360,F,1,91.72174072,91.72174072,0,0,0,C,360,0,2,1.101400018,0.899999976,0,1,0,3,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,89.91303253,89.91303253,0,91.11000061,0,GRF95,1,GRF95,1,N,N,C,0,3,0.050000001,0.001,0.001,0,1,C,0,0,30,0,91.72174072,1,0,N,999,0,PU_noALM_Trad,PU,GH12,0,0,0,0,1,1984,NA,0,317-2020,1
